category|subcategory|zh|ru|en|level
Окраска|Технология окраски|涂装|окраска / нанесение покрытия|painting / coating|B1
Окраска|Технология окраски|喷漆|окраска распылением|spray painting|B1
Окраска|Технология окраски|底漆|грунт / грунтовочное покрытие|primer / primer coat|B1
Окраска|Технология окраски|面漆|финишная эмаль|topcoat|B1
Окраска|Технология окраски|清漆|прозрачный лак|clear coat|B1
Окраска|Технология окраски|电泳涂装|электрофоретическое покрытие|electrocoating / e-coat|B1
Окраска|Технология окраски|电泳槽|ванна электрофореза|e-coat bath|B1
Окраска|Технология окраски|磷化|фосфатирование|phosphating|B1
Окраска|Технология окраски|磷化膜|фосфатная пленка|phosphate coating|B1
Окраска|Технология окраски|脱脂|обезжиривание|degreasing|B1
Окраска|Технология окраски|预处理|предварительная обработка|pretreatment|B1
Окраска|Технология окраски|水洗|водная промывка|water rinse|B1
Окраска|Технология окраски|纯水洗|промывка деминерализованной водой|demineralized-water rinse|B1
Окраска|Технология окраски|喷房|окрасочная камера|spray booth|B1
Окраска|Технология окраски|烘房|сушильная камера|drying oven|B1
Окраска|Технология окраски|烘烤|запекание покрытия|baking / curing|B1
Окраска|Технология окраски|固化|отверждение покрытия|curing|B1
Окраска|Технология окраски|漆膜|лакокрасочная пленка|paint film|B1
Окраска|Технология окраски|膜厚|толщина покрытия|film thickness|B1
Окраска|Технология окраски|干膜厚度|толщина сухого покрытия|dry film thickness|B1
Окраска|Технология окраски|湿膜厚度|толщина мокрого покрытия|wet film thickness|B1
Окраска|Технология окраски|色差|разнотон / цветовое различие|color difference|B1
Окраска|Технология окраски|颜色匹配|подбор цвета|color matching|B1
Окраска|Технология окраски|调色|колеровка / смешивание цвета|color mixing|B1
Окраска|Технология окраски|色板|контрольная цветовая пластина|color panel|B1
Окраска|Технология окраски|光泽度|блеск покрытия|gloss|B1
Окраска|Технология окраски|附着力|адгезия покрытия|adhesion|B1
Окраска|Технология окраски|硬度|твердость покрытия|coating hardness|B1
Окраска|Технология окраски|耐腐蚀性|коррозионная стойкость|corrosion resistance|B1
Окраска|Технология окраски|盐雾试验|испытание в соляном тумане|salt spray test|B1
Окраска|Технология окраски|橘皮|дефект «апельсиновая корка»|orange peel|B1
Окраска|Технология окраски|流挂|подтек краски|paint run / sag|B1
Окраска|Технология окраски|针孔|игольчатые поры|pinholes|B1
Окраска|Технология окраски|缩孔|кратеры / усадочные раковины|craters|B1
Окраска|Технология окраски|鱼眼|дефект «рыбий глаз»|fisheye defect|B1
Окраска|Технология окраски|颗粒|включения / частицы в покрытии|dirt nibs / particles|B1
Окраска|Технология окраски|尘点|пылевая точка|dust inclusion|B1
Окраска|Технология окраски|起泡|вздутие покрытия|blistering|B1
Окраска|Технология окраски|剥落|отслаивание покрытия|peeling|B1
Окраска|Технология окраски|开裂|растрескивание покрытия|cracking|B1
Окраска|Технология окраски|失光|потеря блеска|loss of gloss|B1
Окраска|Технология окраски|露底|непрокрас / просвечивание грунта|show-through / insufficient coverage|B1
Окраска|Технология окраски|漏喷|пропуск при окраске|missed spray area|B1
Окраска|Технология окраски|过喷|перепыл|overspray|B1
Окраска|Технология окраски|喷涂距离|расстояние распыления|spray distance|B1
Окраска|Технология окраски|喷枪|краскораспылитель|spray gun|B1
Окраска|Технология окраски|喷嘴|сопло распылителя|spray nozzle|B1
Окраска|Технология окраски|雾化|атомизация краски|atomization|B1
Окраска|Технология окраски|雾化压力|давление распыления|atomizing pressure|B1
Окраска|Технология окраски|涂料流量|расход лакокрасочного материала|paint flow rate|B1
Окраска|Технология окраски|粘度|вязкость|viscosity|B1
Окраска|Технология окраски|稀释剂|разбавитель|thinner|B1
Окраска|Технология окраски|固化剂|отвердитель|hardener|B1
Окраска|Технология окраски|双组分涂料|двухкомпонентная краска|two-component paint|B1
Окраска|Технология окраски|水性漆|водоразбавляемая краска|waterborne paint|B1
Окраска|Технология окраски|溶剂型漆|краска на растворителе|solvent-borne paint|B1
Окраска|Технология окраски|密封胶|герметик|sealer|B1
Окраска|Технология окраски|涂胶|нанесение герметика|sealer application|B1
Окраска|Технология окраски|PVC密封|ПВХ-герметизация|PVC sealing|B1
Окраска|Технология окраски|车底涂层|антигравийное покрытие днища|underbody coating|B1
Окраска|Технология окраски|防石击涂层|антигравийное покрытие|stone-chip coating|B1
Окраска|Технология окраски|打磨|шлифование|sanding|B1
Окраска|Технология окраски|砂纸|наждачная бумага|sandpaper|B1
Окраска|Технология окраски|抛光|полировка|polishing|B1
Окраска|Технология окраски|抛光剂|полировальная паста|polishing compound|B1
Окраска|Технология окраски|补漆|локальный ремонт окраски|paint touch-up|B1
Окраска|Технология окраски|返修|ремонт / доработка окраски|paint rework|B1
Окраска|Технология окраски|遮蔽|маскирование перед окраской|masking|B1
Окраска|Технология окраски|遮蔽胶带|малярная лента|masking tape|B1
Окраска|Технология окраски|挂具|подвес для кузова/детали|paint hanger / carrier|B1
Окраска|Технология окраски|输送链|конвейерная цепь|conveyor chain|B1
Окраска|Технология окраски|喷涂机器人|окрасочный робот|painting robot|B1
Окраска|Технология окраски|机器人轨迹|траектория робота|robot path|B1
Окраска|Технология окраски|换色|смена цвета|color change|B1
Окраска|Технология окраски|清洗循环|цикл промывки системы|cleaning cycle|B1
Окраска|Технология окраски|漆雾分离|улавливание окрасочного тумана|paint mist separation|B1
Окраска|Технология окраски|废气处理|очистка отходящих газов|exhaust-gas treatment|B1
Окраска|Технология окраски|VOC排放|выбросы ЛОС|VOC emissions|B1
Окраска|Технология окраски|温度控制|контроль температуры|temperature control|B1
Окраска|Технология окраски|湿度控制|контроль влажности|humidity control|B1
Логистика|Материальный поток|物流|логистика|logistics|B1
Логистика|Материальный поток|厂内物流|внутризаводская логистика|in-plant logistics|B1
Логистика|Материальный поток|入库|приход / размещение на складе|goods receipt / put-away|B1
Логистика|Материальный поток|出库|отпуск со склада|goods issue|B1
Логистика|Материальный поток|收货|приемка груза|receiving|B1
Логистика|Материальный поток|发货|отгрузка|shipping|B1
Логистика|Материальный поток|装卸|погрузочно-разгрузочные работы|loading and unloading|B1
Логистика|Материальный поток|装货|погрузка|loading|B1
Логистика|Материальный поток|卸货|разгрузка|unloading|B1
Логистика|Материальный поток|托盘|поддон|pallet|B1
Логистика|Материальный поток|周转箱|оборотная тара|returnable container|B1
Логистика|Материальный поток|料箱|контейнер для деталей|parts bin|B1
Логистика|Материальный поток|包装|упаковка|packaging|B1
Логистика|Материальный поток|防护包装|защитная упаковка|protective packaging|B1
Логистика|Материальный поток|标签|этикетка / маркировка|label|B1
Логистика|Материальный поток|条码|штрихкод|barcode|B1
Логистика|Материальный поток|二维码|QR-код|QR code|B1
Логистика|Материальный поток|扫码|сканирование кода|code scanning|B1
Логистика|Материальный поток|库位|складская ячейка|storage location|B1
Логистика|Материальный поток|货位|место хранения|storage bin|B1
Логистика|Материальный поток|库存|запас / складской остаток|inventory|B1
Логистика|Материальный поток|安全库存|страховой запас|safety stock|B1
Логистика|Материальный поток|最低库存|минимальный запас|minimum stock|B1
Логистика|Материальный поток|最大库存|максимальный запас|maximum stock|B1
Логистика|Материальный поток|缺料|дефицит материала|material shortage|B1
Логистика|Материальный поток|齐套|комплектность|kit completeness|B1
Логистика|Материальный поток|齐套率|уровень комплектности|kitting completeness rate|B1
Логистика|Материальный поток|补货|пополнение|replenishment|B1
Логистика|Материальный поток|看板|канбан|kanban|B1
Логистика|Материальный поток|拉动系统|вытягивающая система|pull system|B1
Логистика|Материальный поток|准时化|точно вовремя|just-in-time|B1
Логистика|Материальный поток|顺序供货|поставка в последовательности|just-in-sequence|B1
Логистика|Материальный поток|先进先出|FIFO / первым пришел — первым вышел|FIFO|B1
Логистика|Материальный поток|批次|партия|batch / lot|B1
Логистика|Материальный поток|批次追踪|прослеживаемость партии|lot tracking|B1
Логистика|Материальный поток|追溯|прослеживаемость|traceability|B1
Логистика|Материальный поток|先进先出通道|FIFO-канал|FIFO lane|B1
Логистика|Материальный поток|线边仓|линейный склад|line-side storage|B1
Логистика|Материальный поток|超市|логистический супермаркет|material supermarket|B1
Логистика|Материальный поток|配送路线|маршрут доставки|delivery route|B1
Логистика|Материальный поток|牛奶车路线|milk-run маршрут|milk-run route|B1
Логистика|Материальный поток|牵引车|логистический тягач|tugger|B1
Логистика|Материальный поток|叉车|вилочный погрузчик|forklift|B1
Логистика|Материальный поток|手推车|ручная тележка|hand cart|B1
Логистика|Материальный поток|物料搬运|перемещение материалов|material handling|B1
Логистика|Материальный поток|配送频次|частота доставки|delivery frequency|B1
Логистика|Материальный поток|配送窗口|окно доставки|delivery window|B1
Логистика|Материальный поток|到货|прибытие груза|arrival|B1
Логистика|Материальный поток|到货时间|время прибытия|arrival time|B1
Логистика|Материальный поток|交货期|срок поставки|delivery lead time|B1
Логистика|Материальный поток|在途库存|запас в пути|in-transit inventory|B1
Логистика|Материальный поток|运输|транспортировка|transportation|B1
Логистика|Материальный поток|承运商|перевозчик|carrier|B1
Логистика|Материальный поток|运输路线|транспортный маршрут|transport route|B1
Логистика|Материальный поток|公路运输|автомобильная перевозка|road transport|B1
Логистика|Материальный поток|铁路运输|железнодорожная перевозка|rail transport|B1
Логистика|Материальный поток|海运|морская перевозка|sea freight|B1
Логистика|Материальный поток|空运|авиаперевозка|air freight|B1
Логистика|Материальный поток|多式联运|мультимодальная перевозка|multimodal transport|B1
Логистика|Материальный поток|集装箱|контейнер|shipping container|B1
Логистика|Материальный поток|整箱|полный контейнер|full container load|B1
Логистика|Материальный поток|拼箱|сборный контейнер|less-than-container load|B1
Логистика|Материальный поток|运单|транспортная накладная|waybill|B1
Логистика|Материальный поток|提单|коносамент|bill of lading|B1
Логистика|Материальный поток|装箱单|упаковочный лист|packing list|B1
Логистика|Материальный поток|商业发票|коммерческий инвойс|commercial invoice|B1
Логистика|Материальный поток|原产地证|сертификат происхождения|certificate of origin|B1
Логистика|Материальный поток|报关|таможенное декларирование|customs declaration|B1
Логистика|Материальный поток|清关|таможенная очистка|customs clearance|B1
Логистика|Материальный поток|海关|таможня|customs|B1
Логистика|Материальный поток|关税|таможенная пошлина|customs duty|B1
Логистика|Материальный поток|进口|импорт|import|B1
Логистика|Материальный поток|出口|экспорт|export|B1
Логистика|Материальный поток|货损|повреждение груза|cargo damage|B1
Логистика|Материальный поток|短装|недопоставка|short shipment|B1
Логистика|Материальный поток|多装|излишняя поставка|over-shipment|B1
Логистика|Материальный поток|库存盘点|инвентаризация|inventory count|B1
Логистика|Материальный поток|循环盘点|циклическая инвентаризация|cycle count|B1
Логистика|Материальный поток|ASN预报|предварительное уведомление об отгрузке|advance shipping notice|B1
Логистика|Материальный поток|紧急运输|экстренная перевозка|expedited freight|B1
Кузов и компоненты|Кузов и детали|车身|кузов автомобиля|vehicle body|B1
Кузов и компоненты|Кузов и детали|白车身|кузов в белом / BIW|body-in-white|B1
Кузов и компоненты|Кузов и детали|车门|дверь|door|B1
Кузов и компоненты|Кузов и детали|前门|передняя дверь|front door|B1
Кузов и компоненты|Кузов и детали|后门|задняя дверь|rear door|B1
Кузов и компоненты|Кузов и детали|发动机罩|капот|hood / bonnet|B1
Кузов и компоненты|Кузов и детали|行李厢盖|крышка багажника|trunk lid|B1
Кузов и компоненты|Кузов и детали|尾门|дверь багажного отделения|tailgate|B1
Кузов и компоненты|Кузов и детали|翼子板|крыло|fender|B1
Кузов и компоненты|Кузов и детали|侧围|боковина кузова|body side|B1
Кузов и компоненты|Кузов и детали|车顶|крыша кузова|roof panel|B1
Кузов и компоненты|Кузов и детали|地板|панель пола|floor panel|B1
Кузов и компоненты|Кузов и детали|前地板|передняя панель пола|front floor|B1
Кузов и компоненты|Кузов и детали|后地板|задняя панель пола|rear floor|B1
Кузов и компоненты|Кузов и детали|前纵梁|передний лонжерон|front side member|B1
Кузов и компоненты|Кузов и детали|后纵梁|задний лонжерон|rear side member|B1
Кузов и компоненты|Кузов и детали|横梁|поперечина|crossmember|B1
Кузов и компоненты|Кузов и детали|前围板|щит передка|dash panel / firewall|B1
Кузов и компоненты|Кузов и детали|后围板|задняя панель кузова|rear panel|B1
Кузов и компоненты|Кузов и детали|A柱|стойка A|A-pillar|B1
Кузов и компоненты|Кузов и детали|B柱|стойка B|B-pillar|B1
Кузов и компоненты|Кузов и детали|C柱|стойка C|C-pillar|B1
Кузов и компоненты|Кузов и детали|门槛|порог кузова|rocker panel / sill|B1
Кузов и компоненты|Кузов и детали|轮罩|колесная ниша|wheelhouse|B1
Кузов и компоненты|Кузов и детали|轮眉|арка колеса / накладка арки|wheel arch molding|B1
Кузов и компоненты|Кузов и детали|加强板|усилитель / усиливающая панель|reinforcement panel|B1
Кузов и компоненты|Кузов и детали|防撞梁|противоударная балка|crash beam|B1
Кузов и компоненты|Кузов и детали|保险杠骨架|усилитель бампера|bumper reinforcement|B1
Кузов и компоненты|Кузов и детали|散热器格栅|решетка радиатора|radiator grille|B1
Кузов и компоненты|Кузов и детали|前保险杠|передний бампер|front bumper|B1
Кузов и компоненты|Кузов и детали|后保险杠|задний бампер|rear bumper|B1
Кузов и компоненты|Кузов и детали|车门铰链|дверная петля|door hinge|B1
Кузов и компоненты|Кузов и детали|车门锁|дверной замок|door lock|B1
Кузов и компоненты|Кузов и детали|门锁扣|ответная часть замка|door striker|B1
Кузов и компоненты|Кузов и детали|密封条|уплотнитель|weatherstrip|B1
Кузов и компоненты|Кузов и детали|挡风玻璃|ветровое стекло|windshield|B1
Кузов и компоненты|Кузов и детали|后风挡玻璃|заднее стекло|rear window|B1
Кузов и компоненты|Кузов и детали|侧窗玻璃|боковое стекло|side window glass|B1
Кузов и компоненты|Кузов и детали|车窗升降器|стеклоподъемник|window regulator|B1
Кузов и компоненты|Кузов и детали|外后视镜|наружное зеркало|outside rear-view mirror|B1
Кузов и компоненты|Кузов и детали|内后视镜|внутреннее зеркало|inside rear-view mirror|B1
Кузов и компоненты|Кузов и детали|前大灯|передняя фара|headlamp|B1
Кузов и компоненты|Кузов и детали|尾灯|задний фонарь|tail lamp|B1
Кузов и компоненты|Кузов и детали|雾灯|противотуманная фара|fog lamp|B1
Кузов и компоненты|Кузов и детали|雨刮器|стеклоочиститель|windshield wiper|B1
Кузов и компоненты|Кузов и детали|洗涤器|омыватель стекла|windshield washer|B1
Кузов и компоненты|Кузов и детали|仪表板|панель приборов|instrument panel|B1
Кузов и компоненты|Кузов и детали|中控台|центральная консоль|center console|B1
Кузов и компоненты|Кузов и детали|门护板|обивка двери|door trim panel|B1
Кузов и компоненты|Кузов и детали|顶棚|обивка потолка|headliner|B1
Кузов и компоненты|Кузов и детали|地毯|ковровое покрытие|carpet|B1
Кузов и компоненты|Кузов и детали|座椅|сиденье|seat|B1
Кузов и компоненты|Кузов и детали|座椅骨架|каркас сиденья|seat frame|B1
Кузов и компоненты|Кузов и детали|头枕|подголовник|head restraint|B1
Кузов и компоненты|Кузов и детали|安全带|ремень безопасности|seat belt|B1
Кузов и компоненты|Кузов и детали|安全气囊|подушка безопасности|airbag|B1
Кузов и компоненты|Кузов и детали|方向盘|рулевое колесо|steering wheel|B1
Кузов и компоненты|Кузов и детали|饰板|декоративная панель|trim panel|B1
Кузов и компоненты|Кузов и детали|卡扣|клипса / фиксатор|clip / retainer|B1
Кузов и компоненты|Кузов и детали|支架|кронштейн|bracket|B1
Кузов и компоненты|Кузов и детали|螺栓|болт|bolt|B1
Кузов и компоненты|Кузов и детали|螺母|гайка|nut|B1
Кузов и компоненты|Кузов и детали|垫圈|шайба|washer|B1
Кузов и компоненты|Кузов и детали|铆钉|заклепка|rivet|B1
Кузов и компоненты|Кузов и детали|结构胶|конструкционный клей|structural adhesive|B1
Кузов и компоненты|Кузов и детали|点焊|точечная сварка|spot welding|B1
Кузов и компоненты|Кузов и детали|焊缝|сварной шов|weld seam|B1
Кузов и компоненты|Кузов и детали|焊点|сварная точка|weld spot|B1
Кузов и компоненты|Кузов и детали|间隙|зазор|gap|B1
Кузов и компоненты|Кузов и детали|面差|перепад поверхностей|flushness|B1
Кузов и компоненты|Кузов и детали|装配公差|сборочный допуск|assembly tolerance|B1
Кузов и компоненты|Кузов и детали|定位孔|базовое / установочное отверстие|locating hole|B1
Кузов и компоненты|Кузов и детали|定位销|установочный штифт|locating pin|B1
Кузов и компоненты|Кузов и детали|零件号|номер детали|part number|B1
Кузов и компоненты|Кузов и детали|总成|узел в сборе|assembly|B1
Кузов и компоненты|Кузов и детали|分总成|подсборка|subassembly|B1
Кузов и компоненты|Кузов и детали|左右件|левая/правая деталь|left/right-hand part|B1
Кузов и компоненты|Кузов и детали|冲压件|штампованная деталь|stamped part|B1
Кузов и компоненты|Кузов и детали|塑料件|пластиковая деталь|plastic component|B1
Кузов и компоненты|Кузов и детали|覆盖件|наружная кузовная панель|closure / outer panel|B1
